cluster_id,hour,template,count
105,2,033,1
105,2,060,1
105,2,078,1
105,3,048,1
105,3,069,1
105,7,001,1
105,7,009,2
105,7,028,47
105,8,007,1
105,8,066,1
105,8,073,1
105,10,028,2
105,10,048,2
105,11,009,1
105,12,007,1
105,12,010,1
105,12,028,14
105,12,034,1
105,12,079,1
105,12,087,1
105,12,095,1
105,13,010,8
105,13,028,1
105,13,056,6
105,13,060,6
105,13,064,85
105,13,066,1
105,13,069,2
105,13,080,42
105,13,087,3
105,13,095,2
105,14,001,6
105,14,009,11
105,14,010,62
105,14,028,6
105,14,034,2
105,14,035,3
105,14,038,6
105,14,056,16
105,14,060,8
105,14,062,5
105,14,066,28
105,14,069,18
105,14,073,15
105,14,079,6
105,14,080,25
105,14,087,12
105,14,095,31
105,15,009,6
105,15,010,21
105,15,035,88
105,15,038,31
105,15,066,3
105,15,069,46
105,15,078,93
105,15,087,105
105,15,095,61
105,15,099,1
105,16,009,6
105,16,028,17
105,17,009,2
105,17,028,1
105,17,048,1
105,17,062,1
105,17,080,1
105,18,009,3
105,19,028,1
135,2,009,12
135,2,028,8
135,2,036,1
135,2,082,1
135,3,009,56
135,3,015,1
135,3,028,54
135,3,053,2
135,3,089,1
135,4,009,22
135,4,015,1
135,4,021,1
135,4,028,19
135,4,082,1
135,4,089,1
135,4,096,2
135,11,009,1
135,12,009,75
135,12,015,3
135,12,021,3
135,12,023,3
135,12,028,48
135,12,029,3
135,12,036,3
135,12,037,3
135,12,044,3
135,12,051,3
135,12,075,6
135,12,082,3
135,12,085,3
135,12,088,7
135,12,094,3
135,12,096,1
135,14,009,7
135,14,028,6
135,16,009,11
135,16,015,1
135,16,017,1
135,16,028,19
135,16,051,1
135,16,067,1
135,16,082,1
135,16,097,1
135,17,009,4
135,17,028,6
135,18,028,1
135,19,009,21
135,19,028,24
135,21,009,2
135,21,028,1
157,0,009,4
157,1,009,7
157,2,009,4
157,3,009,6
157,3,028,1
157,4,009,4
157,4,022,1
157,4,093,2
157,5,009,4
157,6,003,2
157,6,009,10
157,6,012,1
157,6,020,1
157,6,028,2
157,6,041,1
157,6,093,2
157,6,098,1
157,7,009,13
157,8,009,2
157,8,028,4
157,9,003,1
157,9,008,1
157,9,009,23
157,9,022,2
157,9,024,1
157,9,028,19
157,9,068,1
157,10,009,30
157,10,012,2
157,10,020,1
157,10,028,39
157,10,043,1
157,10,052,1
157,10,086,1
157,11,003,6
157,11,009,46
157,11,012,4
157,11,020,4
157,11,022,2
157,11,024,1
157,11,028,47
157,11,041,2
157,11,043,5
157,11,045,1
157,11,051,2
157,11,052,3
157,11,055,2
157,11,065,1
157,11,079,2
157,11,084,1
157,11,086,2
157,11,093,6
157,11,096,3
157,11,098,4
157,12,003,1
157,12,006,1
157,12,009,68
157,12,012,8
157,12,020,5
157,12,022,4
157,12,028,79
157,12,041,4
157,12,042,1
157,12,043,4
157,12,051,3
157,12,052,5
157,12,055,10
157,12,082,1
157,12,086,6
157,12,093,2
157,12,098,3
157,13,009,36
157,13,012,1
157,13,028,10
157,13,041,4
157,13,043,1
157,13,052,1
157,13,055,1
157,13,086,1
157,13,098,2
157,14,009,38
157,14,012,1
157,14,020,2
157,14,022,2
157,14,028,36
157,14,041,4
157,14,043,1
157,14,052,2
157,14,055,2
157,14,081,1
157,14,082,1
157,14,084,1
157,14,093,1
157,14,098,1
157,15,009,27
157,15,012,3
157,15,022,1
157,15,028,31
157,15,041,7
157,15,043,3
157,15,052,3
157,15,098,3
157,16,003,1
157,16,009,55
157,16,012,6
157,16,020,8
157,16,022,5
157,16,028,100
157,16,041,13
157,16,042,2
157,16,043,5
157,16,044,2
157,16,052,5
157,16,055,2
157,16,062,2
157,16,082,2
157,16,098,7
157,17,009,30
157,17,012,6
157,17,022,3
157,17,028,57
157,17,041,15
157,17,043,6
157,17,052,6
157,17,093,1
157,17,098,6
157,18,009,25
157,18,012,3
157,18,022,1
157,18,028,20
157,18,031,4
157,18,033,1
157,18,041,9
157,18,043,3
157,18,052,3
157,18,055,1
157,18,060,1
157,18,080,1
157,18,085,1
157,18,086,1
157,18,088,2
157,18,098,4
157,19,009,12
157,19,028,2
157,20,003,1
157,20,009,43
157,20,020,5
157,20,022,3
157,20,028,27
157,20,037,1
157,20,041,6
157,20,042,1
157,20,052,5
157,20,055,8
157,20,082,3
157,20,093,3
157,21,009,11
157,21,028,5
157,22,003,2
157,22,009,21
157,22,020,1
157,22,022,1
157,22,028,16
157,22,042,1
157,22,086,2
157,22,097,1
157,23,009,4
157,23,031,4
157,23,033,2
157,23,080,1
157,23,085,1
157,23,088,2
