cluster_id,hour,template,count
105,0,048,2
105,1,028,1
105,2,056,1
105,2,060,1
105,2,087,1
105,3,035,1
105,3,062,1
105,5,066,6
105,5,087,6
105,7,009,1
105,7,028,48
105,7,079,1
105,8,001,1
105,8,010,1
105,8,039,1
105,10,028,2
105,10,048,2
105,11,009,1
105,12,009,215
105,12,027,1
105,12,028,39
105,12,034,1
105,12,035,3
105,12,038,1
105,12,048,1
105,12,087,1
105,13,009,88
105,13,028,119
105,13,038,1
105,13,056,4
105,13,060,10
105,13,080,12
105,14,009,67
105,14,028,75
105,14,035,20
105,14,040,5
105,14,050,5
105,14,066,7
105,14,078,9
105,15,009,1
105,15,010,1
105,15,028,7
105,15,035,1
105,15,038,3
105,15,066,1
105,15,069,2
105,15,078,1
105,15,087,2
105,15,095,2
105,16,009,2
105,16,010,11
105,16,028,22
105,16,035,5
105,16,038,27
105,16,050,2
105,16,066,3
105,16,069,2
105,16,078,12
105,16,087,6
105,16,095,22
105,18,048,3
105,18,079,9
105,18,087,2
105,20,009,1
105,20,028,2
105,20,033,6
105,20,038,3
105,20,056,6
105,20,066,6
105,20,069,3
105,20,080,4
105,21,066,3
105,21,069,6
105,21,095,3
135,11,009,5
135,11,028,2
135,12,009,65
135,12,016,3
135,12,021,3
135,12,028,46
135,12,044,3
135,12,051,1
135,12,067,3
135,12,075,6
135,12,083,3
135,12,085,3
135,12,088,7
135,12,089,9
135,12,094,3
135,12,097,3
135,13,009,13
135,13,028,32
135,14,028,2
135,15,009,12
135,15,028,15
135,16,009,1
135,16,016,1
135,16,021,1
135,16,063,1
135,16,089,1
135,16,096,1
135,16,097,1
135,17,009,3
135,17,021,1
135,17,028,55
135,17,051,1
135,17,053,1
135,17,097,1
135,18,009,27
135,18,028,37
135,19,009,18
135,19,028,35
135,20,009,18
135,20,028,27
135,21,009,3
135,21,028,5
157,0,028,4
157,1,028,4
157,2,009,2
157,2,028,6
157,2,055,1
157,2,086,1
157,3,009,1
157,3,028,4
157,4,009,1
157,4,028,9
157,4,055,1
157,4,093,1
157,4,098,1
157,5,009,3
157,5,028,4
157,6,009,6
157,6,012,1
157,6,020,1
157,6,028,10
157,6,093,1
157,7,003,2
157,7,009,16
157,7,012,1
157,7,020,2
157,7,021,1
157,7,022,1
157,7,028,27
157,7,041,3
157,7,052,5
157,7,055,1
157,7,093,2
157,7,098,2
157,8,009,10
157,8,028,4
157,8,098,1
157,9,009,26
157,9,012,1
157,9,028,25
157,9,041,1
157,9,042,1
157,9,045,1
157,9,046,1
157,9,070,1
157,10,003,1
157,10,009,33
157,10,012,2
157,10,020,1
157,10,021,1
157,10,022,2
157,10,028,30
157,10,031,4
157,10,054,1
157,10,055,1
157,10,056,2
157,10,080,1
157,10,086,1
157,10,088,2
157,11,008,1
157,11,009,44
157,11,012,3
157,11,015,2
157,11,020,3
157,11,021,1
157,11,022,3
157,11,024,1
157,11,028,53
157,11,039,1
157,11,041,1
157,11,042,1
157,11,043,2
157,11,044,1
157,11,045,1
157,11,052,1
157,11,055,6
157,11,086,3
157,11,092,1
157,11,093,3
157,11,096,1
157,11,098,5
157,12,003,2
157,12,009,51
157,12,012,6
157,12,020,3
157,12,022,6
157,12,028,45
157,12,031,4
157,12,041,3
157,12,042,3
157,12,043,3
157,12,044,7
157,12,052,1
157,12,054,1
157,12,055,3
157,12,056,2
157,12,067,1
157,12,076,1
157,12,080,1
157,12,082,2
157,12,086,4
157,12,088,2
157,12,089,2
157,12,093,5
157,12,098,3
157,13,009,48
157,13,012,5
157,13,020,2
157,13,022,3
157,13,028,74
157,13,031,4
157,13,041,3
157,13,042,5
157,13,052,3
157,13,054,1
157,13,055,7
157,13,056,1
157,13,060,1
157,13,067,3
157,13,080,1
157,13,086,3
157,13,088,2
157,13,093,6
157,13,098,3
157,14,009,25
157,14,012,2
157,14,020,4
157,14,022,2
157,14,028,39
157,14,031,4
157,14,037,1
157,14,041,1
157,14,042,5
157,14,054,1
157,14,055,3
157,14,056,2
157,14,062,1
157,14,080,1
157,14,088,2
157,14,093,5
157,15,009,31
157,15,012,1
157,15,013,1
157,15,020,3
157,15,022,1
157,15,028,54
157,15,037,1
157,15,041,2
157,15,042,3
157,15,055,3
157,15,057,1
157,15,062,1
157,15,093,5
157,16,009,21
157,16,012,2
157,16,020,8
157,16,021,1
157,16,022,3
157,16,028,41
157,16,037,2
157,16,041,2
157,16,042,6
157,16,055,5
157,16,062,2
157,17,009,1
157,17,022,1
157,17,028,16
157,17,055,1
157,18,012,1
157,18,020,1
157,18,028,32
157,18,042,2
157,19,003,2
157,19,009,14
157,19,012,1
157,19,020,1
157,19,022,1
157,19,028,38
157,19,042,4
157,19,055,5
157,19,098,2
157,20,009,16
157,20,028,21
157,21,009,30
157,21,021,1
157,21,022,1
157,21,028,30
157,21,032,1
157,21,076,1
157,21,093,1
157,21,098,1
157,22,009,24
157,22,028,44
157,23,009,2
157,23,019,1
157,23,028,7
157,23,057,1
